precision,recall
0.5389255317741477,0.9991518891927664
0.538941361638595,0.9991471722249843
0.5389888542203679,0.9991396250765328
0.5390158561318774,0.9991367948958635
0.53902612565477,0.9991339647151942
0.539041099376511,0.9991301911409685
0.5390670093909856,0.9991273609602992
0.5397521805633353,0.9990443423273331
0.539768890012503,0.9990396253595508
0.5398021501780771,0.9990339649982123
0.5398149701004773,0.9990301914239865
0.5398339982443494,0.9990292480304301
0.5398482771488421,0.9990235876690915
0.5398661755521852,0.9990169839141965
0.5398788363270777,0.9990169839141965
0.5399275680432614,0.9990103801593014
0.53997446333745,0.9990018896172935
0.5399935034173351,0.9990009462237371
0.5400098421432414,0.9989924556817292
0.5400906334395059,0.9989839651397213
0.5401025196368459,0.9989830217461648
0.5402011114132333,0.9989650972685926
0.5402228130026799,0.9989603803008105
